Name,Score
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K50_1.json,3632.7260000000006
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K50_2.json,4113.35
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K100_1.json,3460.855
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K100_2.json,3628.829
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K200_1.json,3329.6979999999994
C:\Users\hsh80\Desktop\LG CNS\alg_test_problems_20240429\TEST_K200_2.json,3218.67
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_1.json,3651.684
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_2.json,3368.73
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_3.json,3110.6584999999995
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_4.json,2709.5164999999997
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_5.json,2305.5626666666676
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_6.json,2535.166666666666
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_7.json,3432.3720000000008
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_8.json,3327.282
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_9.json,3072.2555000000007
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_10.json,2625.4710000000005
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_11.json,2509.993000000001
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_12.json,2512.7013333333325
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_13.json,4974.219999999999
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_14.json,4209.311
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_15.json,4244.503
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_16.json,3353.415
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_17.json,3498.0129999999995
C:\Users\hsh80\Desktop\LG CNS\stage1_problems\STAGE1_18.json,3646.922333333334
